date,Extended Benefits,PUA,PEUC
7/19/2014,246,0,0
7/26/2014,285,0,0
8/2/2014,280,0,0
8/9/2014,2,0,0
8/16/2014,15,0,0
8/23/2014,10,0,0
8/30/2014,37,0,0
9/6/2014,6,0,0
9/13/2014,7,0,0
9/20/2014,3,0,0
9/27/2014,5,0,0
10/4/2014,4,0,0
10/11/2014,11,0,0
10/18/2014,13,0,0
10/25/2014,20,0,0
11/1/2014,16,0,0
11/8/2014,5,0,0
11/15/2014,3,0,0
11/22/2014,4,0,0
11/29/2014,5,0,0
12/6/2014,7,0,0
12/13/2014,6,0,0
12/20/2014,5,0,0
12/27/2014,2,0,0
1/3/2015,8,0,0
1/10/2015,6,0,0
1/17/2015,3,0,0
1/24/2015,1,0,0
1/31/2015,23,0,0
2/7/2015,7,0,0
2/14/2015,6,0,0
2/21/2015,5,0,0
2/28/2015,6,0,0
3/7/2015,5,0,0
3/14/2015,8,0,0
3/21/2015,6,0,0
3/28/2015,29,0,0
4/4/2015,4,0,0
4/11/2015,0,0,0
4/18/2015,0,0,0
4/25/2015,0,0,0
5/2/2015,0,0,0
5/9/2015,0,0,0
5/16/2015,0,0,0
5/23/2015,0,0,0
5/30/2015,0,0,0
6/6/2015,0,0,0
6/13/2015,2,0,0
6/20/2015,0,0,0
6/27/2015,0,0,0
7/4/2015,6,0,0
7/11/2015,0,0,0
7/18/2015,0,0,0
7/25/2015,0,0,0
8/1/2015,0,0,0
8/8/2015,0,0,0
8/15/2015,0,0,0
8/22/2015,0,0,0
8/29/2015,0,0,0
9/5/2015,0,0,0
9/12/2015,0,0,0
9/19/2015,0,0,0
9/26/2015,0,0,0
10/3/2015,0,0,0
10/10/2015,0,0,0
10/17/2015,0,0,0
10/24/2015,0,0,0
10/31/2015,0,0,0
11/7/2015,0,0,0
11/14/2015,0,0,0
11/21/2015,0,0,0
11/28/2015,0,0,0
12/5/2015,0,0,0
12/12/2015,0,0,0
12/19/2015,0,0,0
12/26/2015,0,0,0
1/2/2016,1,0,0
1/9/2016,0,0,0
1/16/2016,0,0,0
1/23/2016,0,0,0
1/30/2016,0,0,0
2/6/2016,0,0,0
2/13/2016,0,0,0
2/20/2016,0,0,0
2/27/2016,0,0,0
3/5/2016,0,0,0
3/12/2016,0,0,0
3/19/2016,0,0,0
3/26/2016,0,0,0
4/2/2016,0,0,0
4/9/2016,0,0,0
4/16/2016,0,0,0
4/23/2016,0,0,0
4/30/2016,0,0,0
5/7/2016,0,0,0
5/14/2016,0,0,0
5/21/2016,0,0,0
5/28/2016,33,0,0
6/4/2016,0,0,0
6/11/2016,1,0,0
6/18/2016,0,0,0
6/25/2016,0,0,0
7/2/2016,0,0,0
7/9/2016,0,0,0
7/16/2016,0,0,0
7/23/2016,0,0,0
7/30/2016,0,0,0
8/6/2016,0,0,0
8/13/2016,0,0,0
8/20/2016,0,0,0
8/27/2016,0,0,0
9/3/2016,0,0,0
9/10/2016,0,0,0
9/17/2016,0,0,0
9/24/2016,0,0,0
10/1/2016,0,0,0
10/8/2016,0,0,0
10/15/2016,0,0,0
10/22/2016,0,0,0
10/29/2016,0,0,0
11/5/2016,0,0,0
11/12/2016,0,0,0
11/19/2016,0,0,0
11/26/2016,0,0,0
12/3/2016,0,0,0
12/10/2016,0,0,0
12/17/2016,0,0,0
12/24/2016,0,0,0
12/31/2016,0,0,0
1/7/2017,0,0,0
1/14/2017,0,0,0
1/21/2017,0,0,0
1/28/2017,0,0,0
2/4/2017,0,0,0
2/11/2017,0,0,0
2/18/2017,0,0,0
2/25/2017,0,0,0
3/4/2017,0,0,0
3/11/2017,0,0,0
3/18/2017,0,0,0
3/25/2017,0,0,0
4/1/2017,0,0,0
4/8/2017,0,0,0
4/15/2017,0,0,0
4/22/2017,20,0,0
4/29/2017,0,0,0
5/6/2017,0,0,0
5/13/2017,0,0,0
5/20/2017,0,0,0
5/27/2017,0,0,0
6/3/2017,0,0,0
6/10/2017,0,0,0
6/17/2017,0,0,0
6/24/2017,0,0,0
7/1/2017,0,0,0
7/8/2017,0,0,0
7/15/2017,0,0,0
7/22/2017,0,0,0
7/29/2017,0,0,0
8/5/2017,0,0,0
8/12/2017,0,0,0
8/19/2017,0,0,0
8/26/2017,0,0,0
9/2/2017,0,0,0
9/9/2017,0,0,0
9/16/2017,0,0,0
9/23/2017,0,0,0
9/30/2017,0,0,0
10/7/2017,0,0,0
10/14/2017,0,0,0
10/21/2017,0,0,0
10/28/2017,0,0,0
11/4/2017,0,0,0
11/11/2017,212,0,0
11/18/2017,1100,0,0
11/25/2017,977,0,0
12/2/2017,1284,0,0
12/9/2017,1160,0,0
12/16/2017,1333,0,0
12/23/2017,1280,0,0
12/30/2017,1386,0,0
1/6/2018,1409,0,0
1/13/2018,1310,0,0
1/20/2018,1168,0,0
1/27/2018,1082,0,0
2/3/2018,1005,0,0
2/10/2018,922,0,0
2/17/2018,964,0,0
2/24/2018,864,0,0
3/3/2018,961,0,0
3/10/2018,948,0,0
3/17/2018,1018,0,0
3/24/2018,1024,0,0
3/31/2018,1010,0,0
4/7/2018,1022,0,0
4/14/2018,376,0,0
4/21/2018,174,0,0
4/28/2018,402,0,0
5/5/2018,78,0,0
5/12/2018,96,0,0
5/19/2018,72,0,0
5/26/2018,27,0,0
6/2/2018,33,0,0
6/9/2018,26,0,0
6/16/2018,117,0,0
6/23/2018,29,0,0
6/30/2018,8,0,0
7/7/2018,21,0,0
7/14/2018,11,0,0
7/21/2018,10,0,0
7/28/2018,14,0,0
8/4/2018,11,0,0
8/11/2018,1,0,0
8/18/2018,2,0,0
8/25/2018,3,0,0
9/1/2018,1,0,0
9/8/2018,2,0,0
9/15/2018,0,0,0
9/22/2018,1,0,0
9/29/2018,2,0,0
10/6/2018,0,0,0
10/13/2018,0,0,0
10/20/2018,1,0,0
10/27/2018,0,0,0
11/3/2018,1,0,0
11/10/2018,1,0,0
11/17/2018,3,0,0
11/24/2018,17,0,0
12/1/2018,4,0,0
12/8/2018,3,0,0
12/15/2018,0,0,0
12/22/2018,0,0,0
12/29/2018,0,0,0
1/5/2019,0,0,0
1/12/2019,0,0,0
1/19/2019,0,0,0
1/26/2019,0,0,0
2/2/2019,0,0,0
2/9/2019,0,0,0
2/16/2019,0,0,0
2/23/2019,0,0,0
3/2/2019,0,0,0
3/9/2019,1,0,0
3/16/2019,0,0,0
3/23/2019,1,0,0
3/30/2019,0,0,0
4/6/2019,0,0,0
4/13/2019,0,0,0
4/20/2019,0,0,0
4/27/2019,0,0,0
5/4/2019,0,0,0
5/11/2019,0,0,0
5/18/2019,1,0,0
5/25/2019,0,0,0
6/1/2019,0,0,0
6/8/2019,0,0,0
6/15/2019,0,0,0
6/22/2019,1,0,0
6/29/2019,0,0,0
7/6/2019,0,0,0
7/13/2019,1,0,0
7/20/2019,0,0,0
7/27/2019,0,0,0
8/3/2019,0,0,0
8/10/2019,0,0,0
8/17/2019,0,0,0
8/24/2019,0,0,0
8/31/2019,0,0,0
9/7/2019,0,0,0
9/14/2019,0,0,0
9/21/2019,0,0,0
9/28/2019,0,0,0
10/5/2019,0,0,0
10/12/2019,0,0,0
10/19/2019,0,0,0
10/26/2019,0,0,0
11/2/2019,0,0,0
11/9/2019,0,0,0
11/16/2019,0,0,0
11/23/2019,0,0,0
11/30/2019,0,0,0
